hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,12.4,1.2,rain,75,3.2,76,tramwaj,RP647,76-05,Mały Płaszów–Cmentarz Rakowicki,Mały Płaszów P+R,Uniwersytet Ekonomiczny 02,20,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,21,tramwaj,HL420,21-04,Os.Piastów–Pleszów,Pleszów,Plac Centralny im. R.Reagana 03,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,9,tramwaj,HY718,9-02,Rondo Hipokratesa–Nowy Bieżanów,Rondo Hipokratesa,Nowy Prokocim 02,40,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,4,tramwaj,HG927,4-05,Bronowice–Nowa Huta,Bronowice Małe,Kombinat 02,40,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,1,tramwaj,HK457,1-01,Salwator–Jarzębiny,Jarzębiny,Starowiślna 03,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY831,8-02,Bronowice–Borek Fałęcki,Borek Fałęcki,Stefana Batorego 0_,35,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,RY836,50-06,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Kościuszkowców 0_,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,HY850,10-01,Kurdwanów–Pleszów,Kurdwanów P+R,Pleszów 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,RZ234,52-06,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Korona 03,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,HG916,52-02,Czerwone Maki–Os.Piastów,Os.Piastów,TAURON Arena Kraków Wieczysta 01,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,HY869,10-02,Kurdwanów–Pleszów,Pleszów,Pleszów 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,9,tramwaj,HY741,9-05,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Rondo Kocmyrzowskie im. Ks. Gorzelanego 02,40,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,72,tramwaj,RF304,72-04,Rondo Grunwaldzkie–Czerwone Maki,Czerwone Maki P+R,Rondo Grunwaldzkie 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,1,tramwaj,RF314,1-02,Salwator–Jarzębiny,Jarzębiny,Salwator 01,45,0.0,on_time,0.0,False
