hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,24.47,0.0,clouds,25,6.17,78,tramwaj,HL412,78-04,Salwator–Krowodrza Górka,Krowodrza G. P+R,Teatr Bagatela 01,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,77,tramwaj,RP602,77-04,Nowy Bieżanów–Dworzec Towarowy,Nowy Bieżanów P+R,Hala Targowa 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,22,tramwaj,RY824,22-05,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Zalew Nowohucki 01,40,1.0,slight_delay,0.025,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,RY835,24-03,Bronowice–Kurdwanów,Bronowice Małe,Dauna 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,77,tramwaj,HL439,77-06,Nowy Bieżanów–Dworzec Towarowy,Dworzec Towarowy,Starowiślna 03,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY872,3-04,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Bratysławska 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,76,tramwaj,RP636,76-04,Mały Płaszów–Cmentarz Rakowicki,Cmentarz Rakowicki,Limanowskiego 02,20,1.0,slight_delay,0.05,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,HY737,9-03,Rondo Hipokratesa–Nowy Bieżanów,Rondo Hipokratesa,Zabłocie 02,40,1.0,slight_delay,0.025,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,HK459,1-03,Salwator–Jarzębiny,Jarzębiny,Poczta Główna 01,45,1.0,slight_delay,0.022222222222222223,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,77,tramwaj,HL429,77-01,Nowy Bieżanów–Dworzec Towarowy,Dworzec Towarowy,Prokocim 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,HY713,14-04,Bronowice–Miśnieńska,Bronowice,Rondo Piastowskie 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,RY816,24-06,Bronowice–Kurdwanów,Kurdwanów P+R,Bronowice SKA 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,RY889,14-06,Bronowice–Miśnieńska,Miśnieńska,DH Wanda 01,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,HY743,18-05,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Ruczaj 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,20,tramwaj,RY826,20-04,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Park Jordana 02,20,1.0,slight_delay,0.05,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,RY839,24-05,Bronowice–Kurdwanów,Kurdwanów P+R,Starowiślna 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,21,tramwaj,HL420,21-04,Os.Piastów–Pleszów,Os.Piastów,Plac Centralny im. R.Reagana 02,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,HY722,18-07,Górka Narodowa–Czerwone Maki,Czerwone Maki P+R,Poczta Główna 01,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,4,tramwaj,HG933,4-03,Bronowice–Nowa Huta,Zaj. Nowa Huta,Stary Kleparz 02,40,1.0,slight_delay,0.025,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,8,tramwaj,RY833,8-01,Bronowice–Borek Fałęcki,Bronowice Małe,Łagiewniki 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,4,tramwaj,HG935,4-06,Bronowice–Nowa Huta,Bronowice Małe,Cystersów 02,40,1.0,slight_delay,0.025,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,HY869,10-02,Kurdwanów–Pleszów,Kurdwanów P+R,Rondo Czyżyńskie 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY742,50-03,Borek Fałęcki–Górka Narodowa,Borek Fałęcki,Gromadzka 01,45,1.0,slight_delay,0.022222222222222223,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,72,tramwaj,RF322,72-06,Rondo Grunwaldzkie–Czerwone Maki,Czerwone Maki P+R,Czerwone Maki P+R 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,11,tramwaj,HL432,11-01,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Lipska 03,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,HY861,9-01,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Rondo Kocmyrzowskie im. Ks. Gorzelanego 02,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,77,tramwaj,RP640,77-03,Nowy Bieżanów–Dworzec Towarowy,Nowy Bieżanów P+R,Prokocim 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,HY851,10-04,Kurdwanów–Pleszów,Pleszów,Koksochemia (nż) 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,RY813,9-04,Rondo Hipokratesa–Nowy Bieżanów,Rondo Hipokratesa,Nowy Bieżanów P+R 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,HY841,14-01,Bronowice–Miśnieńska,Miśnieńska,Głowackiego 02,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,72,tramwaj,RF304,72-04,Rondo Grunwaldzkie–Czerwone Maki,Rondo Grunwaldzkie,Czerwone Maki P+R 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,8,tramwaj,RY815,8-04,Bronowice–Borek Fałęcki,Borek Fałęcki,Plac Inwalidów 02,35,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,RY821,14-07,Bronowice–Miśnieńska,Miśnieńska,Teatr Variété 01,25,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,RY828,50-01,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Borek Fałęcki 01,45,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,22,tramwaj,HY738,22-01,Borek Fałęcki–Kopiec Wandy,Kopiec Wandy,Korona 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,HY741,9-05,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Teligi 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,22,tramwaj,RY882,22-07,Borek Fałęcki–Kopiec Wandy,Kopiec Wandy,Ogród Doświadczeń 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,78,tramwaj,HL440,78-02,Salwator–Krowodrza Górka,Salwator,Krowodrza Górka P+R 02,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,HG930,52-01,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Stella-Sawickiego 02,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,HY718,9-02,Rondo Hipokratesa–Nowy Bieżanów,Rondo Hipokratesa,Rondo Kocmyrzowskie im. Ks. Gorzelanego 01,40,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,5,tramwaj,RF327,5-02,Jarzębiny–Krowodrza,Krowodrza G. P+R,Rondo Kocmyrzowskie im. Ks. Gorzelanego 02,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY726,50-13,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Witosa 02,45,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,RF302,1-04,Salwator–Jarzębiny,Jarzębiny,Salwator 01,45,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,5,tramwaj,RF315,5-05,Jarzębiny–Krowodrza,Jarzębiny,Krowodrza Górka P+R 03,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,21,tramwaj,HL401,21-01,Os.Piastów–Pleszów,Pleszów,Os. Piastów 01,30,0.0,on_time,0.0,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,21,tramwaj,HL421,21-03,Os.Piastów–Pleszów,Kopiec Wandy,Os. Piastów 01,30,0.0,on_time,0.0,False
